Log file created at: 2024-07-29 13:40:43 929 139602401347712
2024-07-29 13:40:43 929 139602401347712 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2024-07-29 13:40:43 929 139602401347712 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2024-07-29 13:40:43 929 139602401347712 client/client.cc(565) LOG(ERROR) Connection failure to session
2024-07-29 13:40:43 929 139602401347712 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2024-07-29 13:40:43 929 139602401347712 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2024-07-29 13:40:43 929 139602401347712 client/client.cc(565) LOG(ERROR) Connection failure to session
2024-07-29 13:40:49 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:40:50 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:40:55 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:40:56 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:03 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:03 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:42 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:43 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:50 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:50 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:53 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:53 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:55 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:41:55 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:42:00 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:42:00 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:42:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:11 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:12 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:12 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:12 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:13 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:13 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:14 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:15 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:43:31 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:48:15 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:48:17 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:48:24 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:48:24 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:49:31 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:49:37 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:50:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:50:56 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:51:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:51:52 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:51:53 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:51:53 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:43 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:43 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:44 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:44 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:46 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:46 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:58 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:52:58 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:53:27 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
